Year,Month,Nationality,Sector,Level Of Study,Broad Field Of Education,State,SA4_NAME_2021,Enrolment,Commencement,ABSRemotenessArea
2018,Dec,Panama,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Poland,_Total,_Total,_Total,NSW,Sydney - Ryde,6,4,_Total
2018,Dec,Spain,_Total,_Total,_Total,NSW,Sydney - Ryde,21,11,_Total
2018,Dec,Sweden,_Total,_Total,_Total,NSW,Sydney - Ryde,58,38,_Total
2018,Dec,Uganda,_Total,_Total,_Total,NSW,Sydney - Ryde,5,4,_Total
2018,Dec,Venezuela,_Total,_Total,_Total,NSW,Sydney - Ryde,7,4,_Total
2018,Dec,Cambodia,_Total,_Total,_Total,NSW,Sydney - South West,16,11,_Total
2018,Dec,Hungary,_Total,_Total,_Total,NSW,Sydney - South West,4,4,_Total
2018,Dec,Nepal,_Total,_Total,_Total,NSW,Sydney - South West,168,117,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,NSW,Sydney - South West,11,8,_Total
2018,Dec,Sri Lanka,_Total,_Total,_Total,NSW,Sydney - South West,4,4,_Total
2018,Dec,Thailand,_Total,_Total,_Total,NSW,Sydney - South West,12,10,_Total
2018,Dec,Brazil,_Total,_Total,_Total,NSW,Sydney - Sutherland,6,4,_Total
2018,Dec,Mongolia,_Total,_Total,_Total,NSW,Sydney - Sutherland,4,4,_Total
2018,Dec,Croatia,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,Hungary,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,Latvia,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,Mexico,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,Nepal,_Total,_Total,_Total,NT,Darwin,483,168,_Total
2018,Dec,Slovakia,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,Sri Lanka,_Total,_Total,_Total,NT,Darwin,50,23,_Total
2018,Dec,Tanzania,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,Thailand,_Total,_Total,_Total,NT,Darwin,38,20,_Total
2018,Dec,France,_Total,_Total,_Total,QLD,Brisbane - East,4,4,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,QLD,Brisbane - East,4,4,_Total
2018,Dec,Italy,_Total,_Total,_Total,QLD,Brisbane - East,20,17,_Total
2018,Dec,Bangladesh,_Total,_Total,_Total,QLD,Brisbane - North,5,4,_Total
2018,Dec,Czech Republic,_Total,_Total,_Total,QLD,Brisbane - North,4,4,_Total
2018,Dec,Fiji,_Total,_Total,_Total,QLD,Brisbane - North,4,4,_Total
2018,Dec,Germany,_Total,_Total,_Total,QLD,Brisbane - North,9,5,_Total
2018,Dec,Oman,_Total,_Total,_Total,QLD,Brisbane - North,4,4,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,QLD,Brisbane - North,5,4,_Total
2018,Dec,Saudi Arabia,_Total,_Total,_Total,QLD,Brisbane - North,83,55,_Total
2018,Dec,Singapore,_Total,_Total,_Total,QLD,Brisbane - North,4,4,_Total
2018,Dec,Slovakia,_Total,_Total,_Total,QLD,Brisbane - North,4,4,_Total
2018,Dec,United Kingdom British - National (Overseas),_Total,_Total,_Total,QLD,Brisbane - North,4,4,_Total
2018,Dec,Albania,_Total,_Total,_Total,QLD,Brisbane - South,4,4,_Total
2018,Dec,Belgium,_Total,_Total,_Total,QLD,Brisbane - South,9,6,_Total
2018,Dec,Bulgaria,_Total,_Total,_Total,QLD,Brisbane - South,4,4,_Total
2018,Dec,Colombia,_Total,_Total,_Total,QLD,Brisbane - South,163,112,_Total
2018,Dec,El Salvador,_Total,_Total,_Total,QLD,Brisbane - South,6,4,_Total
2018,Dec,Ghana,_Total,_Total,_Total,QLD,Brisbane - South,19,7,_Total
2018,Dec,Iceland,_Total,_Total,_Total,QLD,Brisbane - South,4,4,_Total
2018,Dec,Kazakhstan,_Total,_Total,_Total,QLD,Brisbane - South,6,4,_Total
2018,Dec,Kenya,_Total,_Total,_Total,QLD,Brisbane - South,31,15,_Total
2018,Dec,Luxembourg,_Total,_Total,_Total,QLD,Brisbane - South,4,4,_Total
2018,Dec,Mauritius,_Total,_Total,_Total,QLD,Brisbane - South,26,17,_Total
2018,Dec,Panama,_Total,_Total,_Total,QLD,Brisbane - South,4,4,_Total
2018,Dec,Portugal,_Total,_Total,_Total,QLD,Brisbane - South,18,7,_Total
2018,Dec,"Samoa, American",_Total,_Total,_Total,QLD,Brisbane - South,4,4,_Total
2018,Dec,Tunisia,_Total,_Total,_Total,QLD,Brisbane - South,4,4,_Total
2018,Dec,Uganda,_Total,_Total,_Total,QLD,Brisbane - South,4,4,_Total
2018,Dec,Venezuela,_Total,_Total,_Total,QLD,Brisbane - South,44,19,_Total
2018,Dec,Vietnam,_Total,_Total,_Total,QLD,Brisbane - South,417,212,_Total
2018,Dec,Antigua and Barbuda,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Bahrain,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Bulgaria,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Cameroon,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Colombia,_Total,_Total,_Total,QLD,Brisbane - West,133,81,_Total
2018,Dec,Dominican Republic,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Egypt,_Total,_Total,_Total,QLD,Brisbane - West,16,7,_Total
2018,Dec,France,_Total,_Total,_Total,QLD,Brisbane - West,175,97,_Total
2018,Dec,Israel,_Total,_Total,_Total,QLD,Brisbane - West,5,4,_Total
2018,Dec,Jamaica,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Kenya,_Total,_Total,_Total,QLD,Brisbane - West,24,10,_Total
2018,Dec,Mauritius,_Total,_Total,_Total,QLD,Brisbane - West,10,5,_Total
2018,Dec,Mongolia,_Total,_Total,_Total,QLD,Brisbane - West,21,7,_Total
2018,Dec,Portugal,_Total,_Total,_Total,QLD,Brisbane - West,27,12,_Total
2018,Dec,Tuvalu,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,United Kingdom British - Overseas Citizen,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Afghanistan,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Austria,_Total,_Total,_Total,QLD,Brisbane Inner City,33,25,_Total
2018,Dec,Bolivia,_Total,_Total,_Total,QLD,Brisbane Inner City,9,6,_Total
2018,Dec,"Congo, Democratic Republic of",_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Cyprus,_Total,_Total,_Total,QLD,Brisbane Inner City,5,5,_Total
2018,Dec,Ecuador,_Total,_Total,_Total,QLD,Brisbane Inner City,83,53,_Total
2018,Dec,Estonia,_Total,_Total,_Total,QLD,Brisbane Inner City,46,25,_Total
2018,Dec,Guatemala,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Hungary,_Total,_Total,_Total,QLD,Brisbane Inner City,91,54,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,QLD,Brisbane Inner City,4107,2541,_Total
2018,Dec,Mozambique,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Netherlands,_Total,_Total,_Total,QLD,Brisbane Inner City,62,44,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,QLD,Brisbane Inner City,364,143,_Total
2018,Dec,Peru,_Total,_Total,_Total,QLD,Brisbane Inner City,208,144,_Total
2018,Dec,"Refugee as per Article 1, 1951 Convention ",_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Slovakia,_Total,_Total,_Total,QLD,Brisbane Inner City,54,37,_Total
2018,Dec,Tanzania,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,United Kingdom British - National (Overseas),_Total,_Total,_Total,QLD,Brisbane Inner City,49,14,_Total
2018,Dec,Vanuatu,_Total,_Total,_Total,QLD,Brisbane Inner City,6,6,_Total
2018,Dec,Zambia,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Ghana,_Total,_Total,_Total,QLD,Cairns,4,4,_Total
2018,Dec,Paraguay,_Total,_Total,_Total,QLD,Cairns,4,4,_Total
2018,Dec,Poland,_Total,_Total,_Total,QLD,Cairns,8,5,_Total
2018,Dec,Spain,_Total,_Total,_Total,QLD,Cairns,17,13,_Total
2018,Dec,Venezuela,_Total,_Total,_Total,QLD,Cairns,6,4,_Total
2018,Dec,Belgium,_Total,_Total,_Total,QLD,Central Queensland,4,4,_Total
2018,Dec,China,_Total,_Total,_Total,QLD,Central Queensland,44,33,_Total
2018,Dec,Japan,_Total,_Total,_Total,QLD,Central Queensland,30,29,_Total
2018,Dec,United States of America,_Total,_Total,_Total,QLD,Central Queensland,8,8,_Total
2018,Dec,Vietnam,_Total,_Total,_Total,QLD,Central Queensland,13,5,_Total
2018,Dec,Croatia,_Total,_Total,_Total,QLD,Gold Coast,5,4,_Total
2018,Dec,Finland,_Total,_Total,_Total,QLD,Gold Coast,52,29,_Total
2018,Dec,Lithuania,_Total,_Total,_Total,QLD,Gold Coast,82,40,_Total
2018,Dec,Namibia,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2018,Dec,Nauru,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2018,Dec,Nepal,_Total,_Total,_Total,QLD,Gold Coast,309,152,_Total
2018,Dec,Nigeria,_Total,_Total,_Total,QLD,Gold Coast,66,18,_Total
2018,Dec,Serbia,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2018,Dec,Sri Lanka,_Total,_Total,_Total,QLD,Gold Coast,50,24,_Total
2018,Dec,United Kingdom British - Citizen,_Total,_Total,_Total,QLD,Gold Coast,396,219,_Total
2018,Dec,Bhutan,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2018,Dec,Brazil,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2018,Dec,China,_Total,_Total,_Total,QLD,Ipswich,204,127,_Total
2018,Dec,Macau,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2018,Dec,Papua New Guinea,_Total,_Total,_Total,QLD,Ipswich,16,4,_Total
2018,Dec,Taiwan,_Total,_Total,_Total,QLD,Ipswich,5,4,_Total
2018,Dec,United Arab Emirates,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2018,Dec,Austria,_Total,_Total,_Total,QLD,Logan - Beaudesert,4,4,_Total
2018,Dec,Bangladesh,_Total,_Total,_Total,QLD,Logan - Beaudesert,4,4,_Total
2018,Dec,Cyprus,_Total,_Total,_Total,QLD,Logan - Beaudesert,4,4,_Total
2018,Dec,Germany,_Total,_Total,_Total,QLD,Logan - Beaudesert,4,4,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,QLD,Logan - Beaudesert,88,55,_Total
2018,Dec,Oman,_Total,_Total,_Total,QLD,Logan - Beaudesert,4,4,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,QLD,Logan - Beaudesert,17,12,_Total
2018,Dec,United Kingdom British - National (Overseas),_Total,_Total,_Total,QLD,Logan - Beaudesert,4,4,_Total
2018,Dec,Canada,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,12,6,_Total
2018,Dec,France,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,4,4,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,4,4,_Total
2018,Dec,Nepal,_Total,_Total,_Total,QLD,Moreton Bay - North,24,18,_Total
2018,Dec,Philippines,_Total,_Total,_Total,QLD,Moreton Bay - North,9,9,_Total
2018,Dec,United Kingdom British - Citizen,_Total,_Total,_Total,QLD,Moreton Bay - North,4,4,_Total
2018,Dec,Austria,_Total,_Total,_Total,QLD,Moreton Bay - South,4,4,_Total
2018,Dec,United Kingdom British - Citizen,_Total,_Total,_Total,QLD,Moreton Bay - South,4,4,_Total
2018,Dec,Austria,_Total,_Total,_Total,QLD,Sunshine Coast,43,40,_Total
2018,Dec,Ecuador,_Total,_Total,_Total,QLD,Sunshine Coast,4,4,_Total
2018,Dec,Germany,_Total,_Total,_Total,QLD,Sunshine Coast,362,290,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,QLD,Sunshine Coast,293,164,_Total
2018,Dec,Malaysia,_Total,_Total,_Total,QLD,Sunshine Coast,16,11,_Total
2018,Dec,Netherlands,_Total,_Total,_Total,QLD,Sunshine Coast,16,8,_Total
2018,Dec,Norway,_Total,_Total,_Total,QLD,Sunshine Coast,202,120,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,QLD,Sunshine Coast,19,6,_Total
2018,Dec,Peru,_Total,_Total,_Total,QLD,Sunshine Coast,5,4,_Total
2018,Dec,Saudi Arabia,_Total,_Total,_Total,QLD,Sunshine Coast,90,18,_Total
2018,Dec,Slovakia,_Total,_Total,_Total,QLD,Sunshine Coast,6,5,_Total
2018,Dec,Argentina,_Total,_Total,_Total,QLD,Toowoomba,4,4,_Total
2018,Dec,Bangladesh,_Total,_Total,_Total,QLD,Toowoomba,25,10,_Total
2018,Dec,Chile,_Total,_Total,_Total,QLD,Toowoomba,9,5,_Total
2018,Dec,Fiji,_Total,_Total,_Total,QLD,Toowoomba,8,4,_Total
2018,Dec,Finland,_Total,_Total,_Total,QLD,Toowoomba,4,4,_Total
2018,Dec,Germany,_Total,_Total,_Total,QLD,Toowoomba,9,9,_Total
2018,Dec,Iran,_Total,_Total,_Total,QLD,Toowoomba,10,4,_Total
2018,Dec,Jordan,_Total,_Total,_Total,QLD,Toowoomba,29,10,_Total
2018,Dec,Kuwait,_Total,_Total,_Total,QLD,Toowoomba,105,10,_Total
2018,Dec,Malawi,_Total,_Total,_Total,QLD,Toowoomba,4,4,_Total
2018,Dec,Norway,_Total,_Total,_Total,QLD,Toowoomba,4,4,_Total
2018,Dec,Oman,_Total,_Total,_Total,QLD,Toowoomba,4,4,_Total
2018,Dec,Singapore,_Total,_Total,_Total,QLD,Toowoomba,50,13,_Total
2018,Dec,Bhutan,_Total,_Total,_Total,QLD,Townsville,4,4,_Total
2018,Dec,Brazil,_Total,_Total,_Total,QLD,Townsville,21,11,_Total
2018,Dec,Canada,_Total,_Total,_Total,QLD,Townsville,156,60,_Total
2018,Dec,China,_Total,_Total,_Total,QLD,Townsville,51,17,_Total
2018,Dec,East Timor,_Total,_Total,_Total,QLD,Townsville,4,4,_Total
2018,Dec,Japan,_Total,_Total,_Total,QLD,Townsville,36,21,_Total
2018,Dec,Latvia,_Total,_Total,_Total,QLD,Townsville,4,4,_Total
2018,Dec,Mexico,_Total,_Total,_Total,QLD,Townsville,6,4,_Total
2018,Dec,Nigeria,_Total,_Total,_Total,QLD,Townsville,9,5,_Total
2018,Dec,Sweden,_Total,_Total,_Total,QLD,Townsville,19,13,_Total
2018,Dec,Switzerland,_Total,_Total,_Total,QLD,Townsville,19,12,_Total
2018,Dec,Brazil,_Total,_Total,_Total,QLD,Wide Bay,4,4,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,QLD,Wide Bay,4,4,_Total
2018,Dec,Kenya,_Total,_Total,_Total,QLD,Wide Bay,4,4,_Total
2018,Dec,Papua New Guinea,_Total,_Total,_Total,QLD,Wide Bay,6,4,_Total
2018,Dec,Taiwan,_Total,_Total,_Total,QLD,Wide Bay,10,6,_Total
2018,Dec,China,_Total,_Total,_Total,SA,Adelaide - Central and Hills,12460,5982,_Total
2018,Dec,Croatia,_Total,_Total,_Total,SA,Adelaide - Central and Hills,6,4,_Total
2018,Dec,East Timor,_Total,_Total,_Total,SA,Adelaide - Central and Hills,4,4,_Total
2018,Dec,"Korea, Democratic People's Republic of (North)",_Total,_Total,_Total,SA,Adelaide - Central and Hills,4,4,_Total
2018,Dec,Latvia,_Total,_Total,_Total,SA,Adelaide - Central and Hills,4,4,_Total
2020,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Blacktown,4130,2157,_Total
2020,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - Inner,186689,85768,_Total
2020,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - North West,363,169,_Total
2020,Dec,_Total,_Total,_Total,_Total,WA,Mandurah,122,56,_Total
2018,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - Inner,183658,101522,_Total
2018,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - North West,239,178,_Total
2018,Dec,_Total,_Total,_Total,_Total,ACT,Australian Capital Territory,19212,9775,_Total
2018,Dec,_Total,_Total,_Total,_Total,TAS,Hobart,10111,5840,_Total
2019,Dec,_Total,_Total,_Total,_Total,QLD,Brisbane - South,13809,7494,_Total
2020,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - City and Inner South,206581,92914,_Total
2019,Dec,_Total,_Total,_Total,_Total,SA,South Australia - South East,45,34,_Total
2020,Dec,_Total,_Total,_Total,_Total,QLD,Ipswich,1077,491,_Total
2020,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,2219,748,_Total
2018,Dec,_Total,_Total,_Total,_Total,WA,Perth - North East,481,318,_Total
2020,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Ryde,15839,6340,_Total
2020,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Sutherland,437,222,_Total
2019,Dec,_Total,_Total,_Total,_Total,QLD,Brisbane - East,139,99,_Total
2019,Dec,_Total,_Total,_Total,_Total,NSW,Murray,28,16,_Total
2018,Dec,_Total,_Total,_Total,_Total,QLD,Townsville,1843,1028,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - City and Inner South,216913,119212,_Total
2018,Dec,_Total,_Total,_Total,_Total,QLD,Darling Downs - Maranoa,5,4,_Total
2020,Dec,_Total,_Total,_Total,_Total,WA,Perth - North East,881,567,_Total
2018,Dec,_Total,_Total,_Total,_Total,VIC,Bendigo,144,61,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Sutherland,499,226,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Parramatta,19428,11158,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Richmond - Tweed,1549,982,_Total
2019,Dec,_Total,_Total,_Total,_Total,WA,Perth - Inner,27698,16276,_Total
2020,Dec,_Total,_Total,_Total,_Total,NSW,New England and North West,1068,280,_Total
2019,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - West,5867,3007,_Total
2020,Dec,_Total,_Total,_Total,_Total,QLD,Cairns,2415,1313,_Total
2019,Dec,_Total,_Total,_Total,_Total,QLD,Brisbane - West,24536,11873,_Total
2019,Dec,_Total,_Total,_Total,_Total,QLD,Central Queensland,322,193,_Total
2018,Dec,_Total,_Total,_Total,_Total,VIC,Latrobe - Gippsland,108,43,_Total
2018,Dec,_Total,_Total,_Total,_Total,WA,Perth - South East,9951,4538,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - South West,25,15,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,VIC,Hume,112,33,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,QLD,Brisbane - South,12540,5770,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - City and Inner South,231582,123045,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,QLD,Ipswich,1077,491,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,SA,South Australia - South East,4,4,Remote Australia
2020,Dec,_Total,_Total,_Total,_Total,WA,Perth - Inner,25905,13893,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,NSW,Southern Highlands and Shoalhaven,143,91,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,NT,Darwin,3979,1832,Outer Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,NSW,Coffs Harbour - Grafton,53,31,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,WA,Bunbury,24,22,Outer Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,NT,Darwin,2730,1222,Outer Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,QLD,Logan - Beaudesert,4,4,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - Inner South,15429,6983,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,QLD,Gold Coast,26626,13874,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,NSW,Richmond - Tweed,43,29,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - Central and Hills,35427,16580,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - North,29,15,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Parramatta,24492,13651,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,QLD,Gold Coast,28576,17972,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - Inner South,13943,4424,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,WA,Perth - South West,4782,2898,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,NSW,Hunter Valley exc Newcastle,5,4,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,VIC,Geelong,178,70,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - South East,26025,13025,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,4011,2457,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,NSW,Riverina,138,47,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,TAS,West and North West,11,7,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,QLD,Moreton Bay - North,72,50,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,NSW,Hunter Valley exc Newcastle,9,7,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - South,4,4,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - North West,238,178,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,WA,Perth - North East,480,317,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - Central and Hills,29282,15210,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,QLD,Sunshine Coast,101,73,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,37264,19684,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,34296,12833,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,NSW,Riverina,4,4,Outer Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,QLD,Toowoomba,2060,870,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - South,4,4,Inner Regional Australia
2018,Dec,Algeria,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Bosnia and Herzegovina,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Bulgaria,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Georgia,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,ACT,Australian Capital Territory,341,161,_Total
2018,Dec,India,_Total,_Total,_Total,ACT,Australian Capital Territory,1224,635,_Total
2018,Dec,Indonesia,_Total,_Total,_Total,ACT,Australian Capital Territory,365,149,_Total
2018,Dec,Ireland,_Total,_Total,_Total,ACT,Australian Capital Territory,26,15,_Total
2018,Dec,Liberia,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Malaysia,_Total,_Total,_Total,ACT,Australian Capital Territory,345,134,_Total
2018,Dec,Mozambique,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Netherlands,_Total,_Total,_Total,ACT,Australian Capital Territory,30,24,_Total
2018,Dec,North Macedonia,_Total,_Total,_Total,ACT,Australian Capital Territory,5,4,_Total
2018,Dec,Russian Federation,_Total,_Total,_Total,ACT,Australian Capital Territory,35,11,_Total
2018,Dec,South Africa,_Total,_Total,_Total,ACT,Australian Capital Territory,10,4,_Total
2018,Dec,Turkey,_Total,_Total,_Total,ACT,Australian Capital Territory,16,8,_Total
2018,Dec,Uruguay,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Japan,_Total,_Total,_Total,NSW,Central Coast,4,4,_Total
2018,Dec,Latvia,_Total,_Total,_Total,NSW,Central West,4,4,_Total
2018,Dec,Nigeria,_Total,_Total,_Total,NSW,Central West,4,4,_Total
2018,Dec,China,_Total,_Total,_Total,NSW,Coffs Harbour - Grafton,4,4,_Total
2018,Dec,Italy,_Total,_Total,_Total,NSW,Coffs Harbour - Grafton,4,4,_Total
2018,Dec,Nepal,_Total,_Total,_Total,NSW,Coffs Harbour - Grafton,4,4,_Total
2018,Dec,Singapore,_Total,_Total,_Total,NSW,Coffs Harbour - Grafton,4,4,_Total
2018,Dec,Thailand,_Total,_Total,_Total,NSW,Coffs Harbour - Grafton,4,4,_Total
2018,Dec,United States of America,_Total,_Total,_Total,NSW,Coffs Harbour - Grafton,4,4,_Total
2018,Dec,Canada,_Total,_Total,_Total,NSW,Illawarra,63,32,_Total
2018,Dec,Chile,_Total,_Total,_Total,NSW,Illawarra,4,4,_Total
2018,Dec,Costa Rica,_Total,_Total,_Total,NSW,Illawarra,4,4,_Total
2018,Dec,Fiji,_Total,_Total,_Total,NSW,Illawarra,5,4,_Total
